site_id,id,bearing,sv1,sv2,sv3,sv4
6,4385,210.0,(0.533239276039-5.55111512313e-17j),(0.263908355425+0.583195639634j),(0.242101525524-0.395731641549j),(-0.158514255532-0.256022753574j)
6,4386,211.0,(0.531197318672+0j),(0.282607984954+0.576166960411j),(0.213745387886-0.414345634626j),(-0.170639542792-0.243939582412j)
6,4387,212.0,(0.52907006776+0j),(0.301149048479+0.568345486875j),(0.184139770059-0.430926779527j),(-0.181855479362-0.231734248537j)
6,4388,213.0,(0.526868293209+5.55111512313e-17j),(0.319695871768+0.559628166157j),(0.153270350299-0.445443807429j),(-0.192251384344-0.219426721685j)
6,4389,214.0,(0.524599270298+0j),(0.338204901548+0.550007240387j),(0.121354576618-0.457768937671j),(-0.201799646127-0.207129560794j)
6,4390,215.0,(0.522273132452-2.77555756156e-17j),(0.356633420434+0.539472920057j),(0.0884626393806-0.467837658054j),(-0.210522468084-0.194922868453j)
6,4391,216.0,(0.519896928945+0j),(0.374659059469+0.528214953685j),(0.0549174487298-0.475546286878j),(-0.218478737854-0.182848514082j)
6,4392,217.0,(0.517475385127-2.77555756156e-17j),(0.392525827145+0.516052275213j),(0.0207224287199-0.480862645465j),(-0.225727219822-0.170943468538j)
6,4393,218.0,(0.515015812499+2.77555756156e-17j),(0.410099811677+0.503051487869j),(-0.0138705565905-0.483728954575j),(-0.232268306188-0.159315404141j)
6,4394,219.0,(0.512523226304-5.55111512313e-17j),(0.427340616409+0.48921828924j),(-0.0487675165559-0.484107021652j),(-0.238220196246-0.147914382519j)
6,4395,220.0,(0.510000817168+2.77555756156e-17j),(0.444125634935+0.474639702961j),(-0.0837061377073-0.481975920111j),(-0.243563708544-0.136886646822j)
6,4396,221.0,(0.507454872684+5.55111512313e-17j),(0.460579562028+0.459170627908j),(-0.118504066292-0.477335306551j),(-0.248409192731-0.126170591094j)
6,4397,222.0,(0.504886051921+2.77555756156e-17j),(0.476500768809+0.442980823906j),(-0.153062168485-0.47016962185j),(-0.25276867438-0.115868796798j)
6,4398,223.0,(0.502299200846-2.77555756156e-17j),(0.49185280139+0.426089539378j),(-0.187194605938-0.460486998631j),(-0.256724821789-0.105954275536j)
6,4399,224.0,(0.499696633097+0j),(0.506745902442+0.408340766239j),(-0.220716451244-0.448309015388j),(-0.260331997362-0.0964375957781j)
6,4400,225.0,(0.497081579221+2.77555756156e-17j),(0.520990339206+0.389923762108j),(-0.253442441076-0.433672014582j),(-0.263628028127-0.087373940124j)
6,4401,226.0,(0.494456773371+2.77555756156e-17j),(0.534681448894+0.370676059696j),(-0.285188865604-0.416626014983j),(-0.266683159935-0.078725301055j)
6,4402,227.0,(0.491825384266-1.38777878078e-17j),(0.547640853619+0.35080007688j),(-0.31577639342-0.397235090556j),(-0.269548384587-0.0704969038807j)
6,4403,228.0,(0.489190663296-1.38777878078e-17j),(0.559835957168+0.330324277483j),(-0.345026824957-0.375575989079j),(-0.272259117787-0.0627391981161j)
6,4404,229.0,(0.486557169389-6.93889390391e-18j),(0.571390645943+0.308977777013j),(-0.372831746316-0.351676764146j),(-0.274896444187-0.0553124889072j)
6,4405,230.0,(0.483927777499+2.08166817117e-17j),(0.582138011328+0.286980819484j),(-0.399008934878-0.325627328417j),(-0.277481409834-0.0483118127678j)
6,4406,231.0,(0.481308947408+3.46944695195e-17j),(0.592030935174+0.264359315184j),(-0.423333410791-0.297606447377j),(-0.280072352597-0.041640419252j)
6,4407,232.0,(0.478706796629+1.99493199737e-17j),(0.601064083408+0.241044426975j),(-0.445696638975-0.267670175278j),(-0.282696444527-0.0353448475466j)
6,4408,233.0,(0.476127832477+4.33680868994e-17j),(0.609180531108+0.217065677997j),(-0.465895661205-0.236030628843j),(-0.28539749141-0.0293752635882j)
6,4409,234.0,(0.473581390642-4.16333634234e-17j),(0.616285823576+0.192567659715j),(-0.483865568917-0.2026783304j),(-0.288214262739-0.0236281799028j)
6,4410,235.0,(0.47107535051-3.46944695195e-17j),(0.622364436591+0.167486246747j),(-0.499385663592-0.167940934222j),(-0.291165684855-0.0181995861085j)
6,4411,236.0,(0.468620682675-1.38777878078e-17j),(0.627385010864+0.141758209617j),(-0.512362052057-0.13191006107j),(-0.29428480489-0.0129857972467j)
6,4412,237.0,(0.466228909202+4.16333634234e-17j),(0.631257370669+0.115541210852j),(-0.522657677917-0.0948659215853j),(-0.297592790982-0.00793121598741j)
6,4413,238.0,(0.463914518833-4.16333634234e-17j),(0.633926613094+0.0888922007983j),(-0.53020267263-0.0568265030267j),(-0.301107209063-0.00297795305061j)
6,4414,239.0,(0.461691066148+0j),(0.635353187549+0.0617622487841j),(-0.534879829165-0.0180949940719j),(-0.304837197909+0.00187974689776j)
6,4415,240.0,(0.459573544394-2.77555756156e-17j),(0.635473131918+0.0342182524903j),(-0.536614779143+0.0210127904941j),(-0.308794445302+0.00664823966097j)
6,4416,241.0,(0.457579948198+5.55111512313e-17j),(0.634226697695+0.00644461859173j),(-0.535355415686+0.0603572501737j),(-0.312981642403+0.0113853675776j)
6,4417,242.0,(0.455726192894+0j),(0.631570001585-0.0215890971297j),(-0.531077298571+0.0996041704309j),(-0.317398611008+0.0161528634764j)
6,4418,243.0,(0.454032163542-5.55111512313e-17j),(0.627452572746-0.0497979158885j),(-0.523754193779+0.138601081258j),(-0.32204085581+0.0209571696194j)
6,4419,244.0,(0.452516773522+2.77555756156e-17j),(0.621817719832-0.0781982104746j),(-0.513413919488+0.177007380149j),(-0.326893120955+0.0259182365222j)
6,4420,245.0,(0.451198098545+2.77555756156e-17j),(0.614667205542-0.106367780369j),(-0.50013586523+0.214487400811j),(-0.331953248964+0.0309307178426j)
6,4421,246.0,(0.450096319574-1.11022302463e-16j),(0.605931496394-0.134529341591j),(-0.483911351749+0.25096975968j),(-0.337197005518+0.0361157012648j)
6,4422,247.0,(0.449230850785+8.32667268469e-17j),(0.595601126707-0.162466886138j),(-0.464906803192+0.286040128557j),(-0.342611300228+0.0414204977463j)
6,4423,248.0,(0.448619658786-5.55111512313e-17j),(0.583695917464-0.189967052642j),(-0.443244321307+0.319471575173j),(-0.348172151766+0.0469098456361j)
6,4424,249.0,(0.448280214918-1.11022302463e-16j),(0.570225577659-0.216924702364j),(-0.419130041857+0.350975333663j),(-0.35385309951+0.0525891637193j)
6,4425,250.0,(0.448227942358+5.55111512313e-17j),(0.555251332265-0.243135088292j),(-0.392741951353+0.380360621426j),(-0.359651696898+0.05833706183j)
6,4426,251.0,(0.448478662923+5.55111512313e-17j),(0.538627341476-0.268875502115j),(-0.364203847757+0.4075175783j),(-0.365500462297+0.064403672217j)
6,4427,252.0,(0.449043487817+8.32667268469e-17j),(0.52065792035-0.293468755149j),(-0.334011950182+0.432043711095j),(-0.371428514477+0.0704732094422j)
6,4428,253.0,(0.449934254508-2.77555756156e-17j),(0.501206319022-0.317189361292j),(-0.302107908331+0.454063062223j),(-0.377361784295+0.0767979978753j)
6,4429,254.0,(0.451157085191+2.77555756156e-17j),(0.480434501273-0.339761181149j),(-0.268957223588+0.473305326875j),(-0.383311506227+0.0831786203151j)
6,4430,255.0,(0.452716823313+0j),(0.458417573994-0.361098515672j),(-0.234817185468+0.489715156141j),(-0.389255356154+0.0896040773759j)
6,4431,256.0,(0.454616512044+2.77555756156e-17j),(0.435302271485-0.381049079158j),(-0.200117460903+0.503192228781j),(-0.395186926589+0.0959960128286j)
