id,t,edsp,tnp,ed1,ed2,ed3,ed4,ed11,ed12,ed13,ed14,ed21,ed22,ed23,ed24,ed31,ed32,ed33,ed34,ed41,ed42,ed43,ed44
280235135,1407454533.48,0.142647230571,0.00051883907676,(0.819359476022+0j),(0.231626506986-0.245000565717j),(0.0422267141088+0.322556116068j),(-0.30515522327-0.126604421041j),(0.000189950785309+0j),(1.72208409482e-05+1.43050179191e-05j),(6.02896404817e-06-1.72571403577e-06j),(1.94290296572e-05-9.2010043127e-06j),(1.72208409482e-05-1.43050179191e-05j),(0.000131721761318+0j),(6.02785498404e-06-1.05884890898e-05j),(-7.52429399419e-06-1.82600574977e-05j),(6.02896404817e-06+1.72571403577e-06j),(6.02785498404e-06+1.05884890898e-05j),(8.27414411185e-05+0j),(1.56548369922e-05-5.12633280548e-06j),(1.94290296572e-05+9.2010043127e-06j),(-7.52429399419e-06+1.82600574977e-05j),(1.56548369922e-05+5.12633280548e-06j),(0.000114425089014+0j)
280235136,1407454535.62,0.131623430883,0.000495590040717,(-0.806057566503+0j),(-0.250542418472+0.247345573327j),(-0.0453967791682-0.326646187438j),(0.312770001203+0.140485552307j),(0.000153377514505+0j),(8.5258905473e-06-1.03638872399e-05j),(2.88017154798e-05-1.29740903765e-05j),(2.09709980643e-05-2.99030587231e-06j),(8.5258905473e-06+1.03638872399e-05j),(0.000112822018974+0j),(6.48617563254e-06-1.73729209332e-05j),(9.13566963169e-06-1.08916448554e-05j),(2.88017154798e-05+1.29740903765e-05j),(6.48617563254e-06+1.73729209332e-05j),(8.73076903632e-05+0j),(1.33151525013e-05-5.24035396621e-06j),(2.09709980643e-05+2.99030587231e-06j),(9.13566963169e-06+1.08916448554e-05j),(1.33151525013e-05+5.24035396621e-06j),(0.000142082816875+0j)
280235137,1407454537.77,0.12263305316,0.000530437561543,(0.814188978001+0j),(0.230568494367-0.249730433269j),(0.039106944428+0.328360463733j),(-0.306470536621-0.135259199851j),(0.000142788943922+0j),(3.04521256601e-06+9.11114490339e-06j),(6.33766289693e-06+9.12929458822e-06j),(1.82144292831e-05-1.10980960283e-05j),(3.04521256601e-06-9.11114490339e-06j),(0.000139127155657+0j),(5.34003515697e-06-2.15387289288e-05j),(2.52666998331e-06-1.59076925169e-05j),(6.33766289693e-06-9.12929458822e-06j),(5.34003515697e-06+2.15387289288e-05j),(7.54711895132e-05+0j),(1.2897984062e-05+1.9085302023e-06j),(1.82144292831e-05+1.10980960283e-05j),(2.52666998331e-06+1.59076925169e-05j),(1.2897984062e-05-1.9085302023e-06j),(0.000173050272451+0j)
280235070,1407454569.94,0.120351351119,0.000526263714957,(-0.811601531456+0j),(-0.221212732788+0.240115563667j),(-0.0309010470569-0.341099307217j),(0.310333891138+0.145264107726j),(0.00014219616252+0j),(1.80872717633e-05+2.57651793314e-05j),(2.20195306344e-05+1.37104110801e-06j),(2.68313865462e-05-1.71962626219e-05j),(1.80872717633e-05-2.57651793314e-05j),(0.000154306517317+0j),(1.16191685693e-05-1.78401938094e-05j),(-6.50807383603e-07-1.70189568491e-05j),(2.20195306344e-05-1.37104110801e-06j),(1.16191685693e-05+1.78401938094e-05j),(7.47075099285e-05+0j),(1.83103920066e-05+1.41847274999e-06j),(2.68313865462e-05+1.71962626219e-05j),(-6.50807383603e-07+1.70189568491e-05j),(1.83103920066e-05-1.41847274999e-06j),(0.000155053525191+0j)
280235071,1407454572.08,0.127589665252,0.000503929864572,(-0.819513703471+0j),(-0.230274700736+0.217767440056j),(-0.0287160564313-0.32874107668j),(0.309112506722+0.153304745099j),(0.000145355774194+0j),(9.46030985066e-06-1.2242583267e-05j),(-4.63558195661e-06-8.81878383573e-06j),(1.91418972359e-05-1.7356505077e-05j),(9.46030985066e-06+1.2242583267e-05j),(0.000140046042601+0j),(4.43677362406e-06-2.2722689699e-05j),(1.43395970144e-05-2.46538821056e-05j),(-4.63558195661e-06+8.81878383573e-06j),(4.43677362406e-06+2.2722689699e-05j),(7.08552902577e-05+0j),(9.81775923358e-06+5.93664537258e-06j),(1.91418972359e-05+1.7356505077e-05j),(1.43395970144e-05+2.46538821056e-05j),(9.81775923358e-06-5.93664537258e-06j),(0.000147672757519+0j)
280235072,1407454574.23,0.130338758358,0.000509747341862,(0.81514588422+0j),(0.227360249743-0.229039701598j),(0.0224968534758+0.335895382397j),(-0.314309102723-0.138792258364j),(0.0001624841667+0j),(1.25603792504e-05+1.66521238354e-05j),(9.60429761328e-06-1.26830414579e-05j),(3.00433219229e-05-2.98390391172e-05j),(1.25603792504e-05-1.66521238354e-05j),(0.000142375457385+0j),(7.61020171378e-07-1.13024460435e-05j),(4.8979633294e-06-1.10441793859e-05j),(9.60429761328e-06+1.26830414579e-05j),(7.61020171378e-07+1.13024460435e-05j),(7.15320253905e-05+0j),(2.9322051607e-05+1.759105579e-06j),(3.00433219229e-05+2.98390391172e-05j),(4.8979633294e-06+1.10441793859e-05j),(2.9322051607e-05-1.759105579e-06j),(0.000133355692387+0j)
280235073,1407454576.38,0.13856604045,0.000503205182524,(0.817330453116+0j),(0.244453144159-0.206777496784j),(0.0274867339971+0.326324167306j),(-0.316604371888-0.148240839621j),(0.000153021055795+0j),(2.00403295607e-05+2.15402164886e-06j),(-1.92383838727e-07-5.08149136323e-06j),(1.54910417992e-05-5.47324455364e-06j),(2.00403295607e-05-2.15402164886e-06j),(0.000144707493667+0j),(1.13714210801e-05-1.39285175449e-05j),(5.00153609779e-07-6.43692027191e-06j),(-1.92383838727e-07+5.08149136323e-06j),(1.13714210801e-05+1.39285175449e-05j),(7.72360981498e-05+0j),(1.12142859773e-05-8.89323163889e-07j),(1.54910417992e-05+5.47324455364e-06j),(5.00153609779e-07+6.43692027191e-06j),(1.12142859773e-05+8.89323163889e-07j),(0.000128240534913+0j)
280235074,1407454578.52,0.133706758131,0.000486534119467,(0.811099505891+0j),(0.25018538676-0.214725145912j),(0.029194400598+0.325876432672j),(-0.315690343263-0.163431393195j),(0.000131371530488+0j),(-1.28620747682e-05-8.9697618181e-06j),(-3.32849060679e-07+5.41393934673e-06j),(9.83911386357e-06-3.30068168151e-06j),(-1.28620747682e-05+8.9697618181e-06j),(0.000149654471238+0j),(4.79071402715e-07-2.02897235489e-05j),(7.85274199611e-06-1.44549273134e-05j),(-3.32849060679e-07-5.41393934673e-06j),(4.79071402715e-07+2.02897235489e-05j),(7.73570229259e-05+0j),(1.25641648501e-05+3.98138274063e-06j),(9.83911386357e-06+3.30068168151e-06j),(7.85274199611e-06+1.44549273134e-05j),(1.25641648501e-05-3.98138274063e-06j),(0.000128151094815+0j)
280235075,1407454610.68,0.14037255063,0.000573784580516,(0.816101125499+0j),(0.230041053077-0.246758036509j),(0.0409131754427+0.321352849831j),(-0.296456516075-0.165355768976j),(0.000160278099769+0j),(7.03294198124e-06+1.8651182507e-05j),(1.7588620171e-05+9.81237696257e-06j),(2.91883577502e-05+6.13336740121e-06j),(7.03294198124e-06-1.8651182507e-05j),(0.0001542863518+0j),(1.14558266727e-06-1.41557120984e-05j),(1.20017694175e-06-1.17492785176e-05j),(1.7588620171e-05-9.81237696257e-06j),(1.14558266727e-06+1.41557120984e-05j),(8.90679242558e-05+0j),(1.48940969946e-05+8.40707051609e-07j),(2.91883577502e-05-6.13336740121e-06j),(1.20017694175e-06+1.17492785176e-05j),(1.48940969946e-05-8.40707051609e-07j),(0.00017015220469+0j)
280235076,1407454612.81,0.143228363643,0.000495504455925,(0.817658117101+0j),(0.225767335285-0.246700357134j),(0.0344345518616+0.319957465634j),(-0.297928155724-0.165177309267j),(0.000143002142204+0j),(6.15544435315e-06+6.99838383242e-06j),(1.89457093154e-05+7.79292819863e-07j),(3.68003148858e-05-5.27717644641e-06j),(6.15544435315e-06-6.99838383242e-06j),(0.00013505725667+0j),(-6.25910900415e-06-2.04884209988e-05j),(1.1084582102e-05-3.55424510757e-06j),(1.89457093154e-05-7.79292819863e-07j),(-6.25910900415e-06+2.04884209988e-05j),(7.68845869823e-05+0j),(1.45346271301e-05-1.63650410452e-06j),(3.68003148858e-05+5.27717644641e-06j),(1.1084582102e-05+3.55424510757e-06j),(1.45346271301e-05+1.63650410452e-06j),(0.000140560470068+0j)
280235077,1407454614.96,0.135118725745,0.0005476006458,(0.822223435966+0j),(0.222315098941-0.239282334286j),(0.0341578754381+0.327992231092j),(-0.285418630172-0.164496577683j),(0.000153677975177+0j),(-3.3087138098e-06+1.34170391294e-05j),(-8.08931748553e-06+1.00542979765e-05j),(2.26422391762e-05+3.28059496909e-06j),(-3.3087138098e-06-1.34170391294e-05j),(0.000171290358322+0j),(6.32522223649e-06-1.96973828985e-05j),(4.28177460874e-06-3.3481690337e-05j),(-8.08931748553e-06-1.00542979765e-05j),(6.32522223649e-06+1.96973828985e-05j),(7.5501071832e-05+0j),(1.32719687334e-05-1.81690649222e-05j),(2.26422391762e-05-3.28059496909e-06j),(4.28177460874e-06+3.3481690337e-05j),(1.32719687334e-05+1.81690649222e-05j),(0.000147131240469+0j)
280235078,1407454617.11,0.122831033947,0.000573422411646,(-0.828313891645+0j),(-0.209213257019+0.230446225592j),(-0.0429023585501-0.324969770819j),(0.293239760582+0.153573844145j),(0.000176565160597+0j),(2.49539194665e-05+2.53377054735e-05j),(2.74073160545e-05+1.49425288702e-05j),(2.13623095072e-05-1.60927515013e-05j),(2.49539194665e-05-2.53377054735e-05j),(0.000162438410106+0j),(-8.55562766844e-09-2.01503132197e-05j),(-2.96030158309e-06-2.57955335947e-05j),(2.74073160545e-05-1.49425288702e-05j),(-8.55562766844e-09+2.01503132197e-05j),(8.08717703682e-05+0j),(1.03171445146e-05-2.19629954421e-05j),(2.13623095072e-05+1.60927515013e-05j),(-2.96030158309e-06+2.57955335947e-05j),(1.03171445146e-05+2.19629954421e-05j),(0.000153547070574+0j)
280235079,1407454619.25,0.133407422636,0.000480449588949,(0.825017527055+0j),(0.23321523841-0.225988036124j),(0.0401471487831+0.314024073138j),(-0.295721036528-0.161902120565j),(0.000120764663945+0j),(2.29741833632e-05+5.52484150706e-06j),(2.73811955772e-06-7.52114930134e-06j),(3.01677497921e-05-2.17847269443e-06j),(2.29741833632e-05-5.52484150706e-06j),(0.000143030639072+0j),(1.75043470933e-06-2.03147615239e-05j),(2.41537825046e-05-6.54475693862e-06j),(2.73811955772e-06+7.52114930134e-06j),(1.75043470933e-06+2.03147615239e-05j),(8.87302505679e-05+0j),(2.60583903491e-05-6.11905270351e-06j),(3.01677497921e-05+2.17847269443e-06j),(2.41537825046e-05+6.54475693862e-06j),(2.60583903491e-05+6.11905270351e-06j),(0.000127924035364+0j)
280235019,1407454651.4,0.119362206797,0.000520502369416,(0.779071020229+0j),(0.327835853954-0.224544961303j),(0.0627616736678+0.268322351689j),(-0.270896797387-0.292968550742j),(0.000132633361359+0j),(5.87791094184e-06+1.76026659327e-05j),(3.14336859414e-06-1.86281910025e-05j),(2.22819436419e-05-1.14970089132e-05j),(5.87791094184e-06-1.76026659327e-05j),(0.00015719139808+0j),(-9.72378749789e-06-3.07997733634e-05j),(-1.27931381617e-05-3.48226842719e-06j),(3.14336859414e-06+1.86281910025e-05j),(-9.72378749789e-06+3.07997733634e-05j),(8.2914918586e-05+0j),(1.82184720906e-05+2.37988551689e-06j),(2.22819436419e-05+1.14970089132e-05j),(-1.27931381617e-05+3.48226842719e-06j),(1.82184720906e-05-2.37988551689e-06j),(0.000147762691391+0j)
